root_seed,condition,memory_index,cosine,mse,topk,identity
51003,fixed_permutation,18,0.000519723151822859,0.2065867930650711,0.0,0.0
51003,fixed_permutation,19,0.1952023184421786,0.1810746192932129,0.2,0.0
51003,fixed_permutation,20,0.00010934588965775012,0.12384805083274841,0.0,0.0
51003,fixed_permutation,21,0.0029025068072564314,0.1157856434583664,0.0,0.0
51003,fixed_permutation,22,0.00013085723991897277,0.18083597719669342,0.0,0.0
51003,fixed_permutation,23,0.027430238710044776,0.20001240074634552,0.0,0.0
51003,fixed_permutation,24,0.23527536531663698,0.24768422544002533,0.2,0.0
51003,fixed_permutation,25,0.12389375399564177,0.31985560059547424,0.2,0.0
51003,fixed_permutation,26,0.01160723524509607,0.21788324415683746,0.0,0.0
51003,fixed_permutation,27,0.33605333798351056,0.15353281795978546,0.4,0.0
51003,matched_decoder,0,0.6635055710922036,0.12636815011501312,1.0,1.0
51003,matched_decoder,1,0.8846987586971032,0.023703014478087425,0.8,1.0
51003,matched_decoder,2,0.9844702371382763,0.004101172089576721,1.0,1.0
51003,matched_decoder,3,0.8954262366723805,0.021217847242951393,0.8,1.0
51003,matched_decoder,4,0.7872298988857027,0.04192659258842468,0.8,1.0
51003,matched_decoder,5,0.646104461917304,0.06708396971225739,0.6,0.0
51003,matched_decoder,6,0.882178371823419,0.022183138877153397,0.8,1.0
51003,matched_decoder,7,0.9949598271407037,0.0010055118473246694,1.0,1.0
51003,matched_decoder,8,0.7087047966862979,0.09898903965950012,0.8,1.0
51003,matched_decoder,9,0.8817985543192552,0.022257449105381966,0.8,1.0
51003,matched_decoder,10,0.7154722857377458,0.0619753934442997,0.6,0.0
51003,matched_decoder,11,0.5867650434697969,0.07602473348379135,0.6,0.0
51003,matched_decoder,12,0.6499975692431894,0.0871957391500473,0.6,0.0
51003,matched_decoder,13,0.8047456211061019,0.04299957677721977,0.8,1.0
51003,matched_decoder,14,0.7300038355380317,0.07344471663236618,0.8,0.0
51003,matched_decoder,15,0.6920978703884374,0.10589850693941116,0.6,1.0
51003,matched_decoder,16,0.7857525094486971,0.03830650448799133,0.6,1.0
51003,matched_decoder,17,0.7419575536216577,0.06667377799749374,0.6,1.0
51003,matched_decoder,18,0.9201002775315995,0.015342065133154392,0.8,1.0
51003,matched_decoder,19,0.6402735545546967,0.068072110414505,0.6,1.0
51003,matched_decoder,20,0.6343733155788281,0.05982942134141922,0.6,1.0
51003,matched_decoder,21,0.9009455352531787,0.02286747843027115,1.0,1.0
51003,matched_decoder,22,0.7599331954110417,0.04769285023212433,0.8,1.0
51003,matched_decoder,23,0.9640183309439379,0.007584438193589449,1.0,1.0
51003,matched_decoder,24,0.7424850153751307,0.08111673593521118,0.8,1.0
51003,matched_decoder,25,0.7085061546265918,0.09917053580284119,1.0,1.0
51003,matched_decoder,26,0.9754148067189851,0.005030686967074871,1.0,1.0
51003,matched_decoder,27,0.8635142247877315,0.025979947298765182,0.8,1.0
51003,random_content,0,0.20618208208423447,0.18885014951229095,0.0,0.0
51003,random_content,1,0.007970032449583735,0.19587446749210358,0.0,0.0
51003,random_content,2,0.19858291013880155,0.15970444679260254,0.2,0.0
51003,random_content,3,0.021700969024119512,0.22373683750629425,0.0,0.0
51003,random_content,4,7.665763818285816e-05,0.14099207520484924,0.0,0.0
51003,random_content,5,0.4385693422233745,0.09412018954753876,0.4,0.0
51003,random_content,6,0.5866884923082906,0.07939130067825317,0.6,0.0
51003,random_content,7,0.19226372014567827,0.1808132529258728,0.2,0.0
51003,random_content,8,0.180987719443603,0.18248210847377777,0.2,0.0
51003,random_content,9,0.17776082064125603,0.166447713971138,0.2,0.0
