repetition,seed,dim_ca1,num_cue_patterns,bit_kind,plasticity,train_noise,test_noise,ae_name,mtl_name,evolution_fitness,input_cosine,ae_cosine,mtl_cosine,ae_mse,mtl_mse
11,73211,50,5,0,base,0.05,0.09,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.35602020227909087,0.5299857573481277,0.4112988081146032,0.08580678701400757,0.1172783374786377
0,73200,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.2541587815284729,0.37885251503670586,0.2836839431691915,0.11603103578090668,0.14067207276821136
1,73201,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.23889204955101012,0.3917308579552919,0.2782659768173471,0.10744267702102661,0.13502122461795807
2,73202,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.2444033145904541,0.3896317373239435,0.3320508738784119,0.11309172213077545,0.13721595704555511
3,73203,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.24952841341495513,0.3874260521158576,0.2817077189204283,0.114151231944561,0.13716459274291992
4,73204,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.2596604472398758,0.3827296487079002,0.33535233642859386,0.11521485447883606,0.13897919654846191
5,73205,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.2322162252664566,0.3563658004119061,0.2622283591879532,0.11624529212713242,0.13372793793678284
6,73206,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.24765178894996642,0.36179422797984445,0.2920775290587917,0.11668350547552109,0.1355549395084381
7,73207,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.25397263514995577,0.37493262165505437,0.25379837257228793,0.11590491235256195,0.15947876870632172
8,73208,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.24185575282573699,0.3710916624063393,0.3127622218015604,0.11679010093212128,0.14876626431941986
9,73209,50,5,0,base,0.05,0.1,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.2401607257127762,0.3483328826366924,0.2588816102477722,0.11823030561208725,0.13747315108776093
